id,slug,name,image,status,notes
"p001","coca-cola-750ml","Coca-Cola Soft Drink","","image_needed","No verified local image downloaded; app fallback is used"
"p002","coca-cola-can-300ml","Coca-Cola Can","","image_needed","No verified local image downloaded; app fallback is used"
"p003","thums-up-750ml","Thums Up Strong Soft Drink","","image_needed","No verified local image downloaded; app fallback is used"
"p004","thums-up-can-300ml","Thums Up Can","","image_needed","No verified local image downloaded; app fallback is used"
"p005","sprite-750ml","Sprite Lime Soft Drink","/products/beverages/sprite-official.png","image_downloaded","Verified local image is available"
"p006","sprite-can-300ml","Sprite Can","/products/beverages/sprite-official.png","image_downloaded","Verified local image is available"
"p007","limca-750ml","Limca Lemon-Lime Soft Drink","/products/beverages/limca-official.jpg","image_downloaded","Verified local image is available"
"p008","fanta-750ml","Fanta Orange Soft Drink","/products/beverages/fanta-official.png","image_downloaded","Verified local image is available"
"p009","maaza-600ml","Maaza Mango Drink","/products/beverages/maaza-official.jpg","image_downloaded","Verified local image is available"
"p010","maaza-250ml","Maaza Mango Drink","/products/beverages/maaza-official.jpg","image_downloaded","Verified local image is available"
"p011","pepsi-750ml","Pepsi Soft Drink","","image_needed","No verified local image downloaded; app fallback is used"
"p012","pepsi-can-250ml","Pepsi Can","","image_needed","No verified local image downloaded; app fallback is used"
"p013","mountain-dew-750ml","Mountain Dew Soft Drink","","image_needed","No verified local image downloaded; app fallback is used"
"p014","7up-750ml","7UP Lemon Soft Drink","","image_needed","No verified local image downloaded; app fallback is used"
"p015","mirinda-750ml","Mirinda Orange Soft Drink","","image_needed","No verified local image downloaded; app fallback is used"
"p016","sting-energy-250ml","Sting Energy Drink","","image_needed","No verified local image downloaded; app fallback is used"
"p017","red-bull-250ml","Red Bull Energy Drink","","image_needed","No verified local image downloaded; app fallback is used"
"p018","monster-energy-350ml","Monster Energy Drink","","image_needed","No verified local image downloaded; app fallback is used"
"p019","paper-boat-aamras-200ml","Paper Boat Aamras","","image_needed","No verified local image downloaded; app fallback is used"
"p020","real-mixed-fruit-1l","Real Mixed Fruit Juice","","image_needed","No verified local image downloaded; app fallback is used"
"p021","tropicana-orange-1l","Tropicana Orange Delight","","image_needed","No verified local image downloaded; app fallback is used"
"p022","amul-kool-kesar-180ml","Amul Kool Kesar Flavoured Milk","","image_needed","No verified local image downloaded; app fallback is used"
"p023","amul-kool-cafe-200ml","Amul Kool Cafe Cold Coffee","","image_needed","No verified local image downloaded; app fallback is used"
"p024","coca-cola-250ml","Coca-Cola Soft Drink","","image_needed","No verified local image downloaded; app fallback is used"
"p025","thums-up-250ml","Thums Up Soft Drink","","image_needed","No verified local image downloaded; app fallback is used"
"p026","bisleri-1l","Bisleri Packaged Drinking Water","","image_needed","No verified local image downloaded; app fallback is used"
"p027","bisleri-500ml","Bisleri Packaged Drinking Water","","image_needed","No verified local image downloaded; app fallback is used"
"p028","bisleri-2l","Bisleri Packaged Drinking Water","","image_needed","No verified local image downloaded; app fallback is used"
"p029","kinley-1l","Kinley Packaged Drinking Water","","image_needed","No verified local image downloaded; app fallback is used"
"p030","aquafina-1l","Aquafina Packaged Drinking Water","","image_needed","No verified local image downloaded; app fallback is used"
"p031","bisleri-soda-750ml","Bisleri Soda","","image_needed","No verified local image downloaded; app fallback is used"
"p032","kinley-soda-750ml","Kinley Soda","","image_needed","No verified local image downloaded; app fallback is used"
"p033","schweppes-tonic-300ml","Schweppes Tonic Water","","image_needed","No verified local image downloaded; app fallback is used"
"p034","lays-magic-masala-48g","Lay's India's Magic Masala","","image_needed","No verified local image downloaded; app fallback is used"
"p035","lays-classic-salted-48g","Lay's Classic Salted","","image_needed","No verified local image downloaded; app fallback is used"
"p036","lays-american-cream-onion-48g","Lay's American Style Cream & Onion","","image_needed","No verified local image downloaded; app fallback is used"
"p037","kurkure-masala-munch-75g","Kurkure Masala Munch","","image_needed","No verified local image downloaded; app fallback is used"
"p038","kurkure-green-chutney-75g","Kurkure Green Chutney Rajasthani Style","","image_needed","No verified local image downloaded; app fallback is used"
"p039","bingo-mad-angles-achaari-masti-66g","Bingo! Mad Angles Achaari Masti","","image_needed","No verified local image downloaded; app fallback is used"
"p040","bingo-tedhe-medhe-80g","Bingo! Tedhe Medhe Masala Tadka","","image_needed","No verified local image downloaded; app fallback is used"
"p041","uncle-chipps-spicy-treat-50g","Uncle Chipps Spicy Treat","","image_needed","No verified local image downloaded; app fallback is used"
"p042","too-yumm-multigrain-chips-54g","Too Yumm! Multigrain Chips Dahi Papdi Chaat","","image_needed","No verified local image downloaded; app fallback is used"
"p043","pringles-original-107g","Pringles Original","","image_needed","No verified local image downloaded; app fallback is used"
"p044","doritos-nacho-cheese-70g","Doritos Nacho Cheese","","image_needed","No verified local image downloaded; app fallback is used"
"p045","crax-corn-rings-72g","Crax Corn Rings Masala","","image_needed","No verified local image downloaded; app fallback is used"
"p046","act-ii-butter-popcorn-59g","Act II Instant Popcorn Butter Delite","","image_needed","No verified local image downloaded; app fallback is used"
"p047","cornitos-peri-peri-55g","Cornitos Nacho Crisps Peri Peri","","image_needed","No verified local image downloaded; app fallback is used"
"p048","peppy-cheese-balls-60g","Peppy Cheese Balls","","image_needed","No verified local image downloaded; app fallback is used"
"p049","haldirams-aloo-bhujia-200g","Haldiram's Aloo Bhujia","","image_needed","No verified local image downloaded; app fallback is used"
"p050","haldirams-bhujia-sev-200g","Haldiram's Bhujia Sev","","image_needed","No verified local image downloaded; app fallback is used"
"p051","haldirams-moong-dal-200g","Haldiram's Moong Dal","","image_needed","No verified local image downloaded; app fallback is used"
"p052","haldirams-khatta-meetha-200g","Haldiram's Khatta Meetha","","image_needed","No verified local image downloaded; app fallback is used"
"p053","haldirams-navrattan-200g","Haldiram's Navrattan Mixture","","image_needed","No verified local image downloaded; app fallback is used"
"p054","bikaji-bikaneri-bhujia-200g","Bikaji Bikaneri Bhujia","","image_needed","No verified local image downloaded; app fallback is used"
"p055","bikaji-soya-sticks-200g","Bikaji Soya Sticks","","image_needed","No verified local image downloaded; app fallback is used"
"p056","balaji-wafers-chataka-pataka-65g","Balaji Chataka Pataka Namkeen","","image_needed","No verified local image downloaded; app fallback is used"
"p057","bikanervala-bhujia-200g","Bikanervala Bikaneri Bhujia","","image_needed","No verified local image downloaded; app fallback is used"
"p058","haldirams-salted-peanuts-200g","Haldiram's Salted Peanuts","","image_needed","No verified local image downloaded; app fallback is used"
"p059","haldirams-nut-cracker-200g","Haldiram's Nut Cracker","","image_needed","No verified local image downloaded; app fallback is used"
"p060","bikaji-funkeen-chana-jor-150g","Bikaji Chana Jor Garam","","image_needed","No verified local image downloaded; app fallback is used"
"p061","parle-g-original-70g","Parle-G Original Glucose Biscuits","","image_needed","No verified local image downloaded; app fallback is used"
"p062","parle-hide-seek-chocolate-100g","Parle Hide & Seek Chocolate Chip Cookies","","image_needed","No verified local image downloaded; app fallback is used"
"p063","britannia-good-day-cashew-75g","Britannia Good Day Cashew Cookies","","image_needed","No verified local image downloaded; app fallback is used"
"p064","britannia-marie-gold-120g","Britannia Marie Gold Tea-Time Biscuits","","image_needed","No verified local image downloaded; app fallback is used"
"p065","oreo-vanilla-creme-43g","Cadbury Oreo Vanilla Creme Biscuits","","image_needed","No verified local image downloaded; app fallback is used"
"p066","britannia-bourbon-100g","Britannia Bourbon Chocolate Cream Biscuits","","image_needed","No verified local image downloaded; app fallback is used"
"p067","parle-monaco-classic-63g","Parle Monaco Classic Salted Biscuits","","image_needed","No verified local image downloaded; app fallback is used"
"p068","parle-krackjack-60g","Parle KrackJack Sweet & Salty Biscuits","","image_needed","No verified local image downloaded; app fallback is used"
"p069","sunfeast-dark-fantasy-choco-fills-75g","Sunfeast Dark Fantasy Choco Fills","","image_needed","No verified local image downloaded; app fallback is used"
"p070","britannia-50-50-maska-chaska-60g","Britannia 50-50 Maska Chaska","","image_needed","No verified local image downloaded; app fallback is used"
"p071","cadbury-dairy-milk-23g","Cadbury Dairy Milk Chocolate Bar","","image_needed","No verified local image downloaded; app fallback is used"
"p072","cadbury-dairy-milk-silk-60g","Cadbury Dairy Milk Silk","","image_needed","No verified local image downloaded; app fallback is used"
"p073","cadbury-5-star-40g","Cadbury 5 Star Chocolate Bar","","image_needed","No verified local image downloaded; app fallback is used"
"p074","cadbury-perk-13g","Cadbury Perk Wafer Chocolate","","image_needed","No verified local image downloaded; app fallback is used"
"p075","nestle-munch-18g","Nestle Munch Wafer Chocolate","","image_needed","No verified local image downloaded; app fallback is used"
"p076","nestle-kitkat-4-finger-38g","Nestle KitKat 4-Finger","","image_needed","No verified local image downloaded; app fallback is used"
"p077","snickers-peanut-45g","Snickers Peanut Chocolate Bar","","image_needed","No verified local image downloaded; app fallback is used"
"p078","nestle-milkybar-25g","Nestle Milkybar White Chocolate","","image_needed","No verified local image downloaded; app fallback is used"
"p079","cadbury-gems-17g","Cadbury Gems Chocolate Buttons","","image_needed","No verified local image downloaded; app fallback is used"
"p080","cadbury-eclairs-pouch","Cadbury Choclairs Gold (Pouch)","","image_needed","No verified local image downloaded; app fallback is used"
"p081","center-fresh-mint-pouch","Center Fresh Spearmint Chewing Gum","","image_needed","No verified local image downloaded; app fallback is used"
"p082","center-fruit-pouch","Center Fruit Liquid-Filled Gum","","image_needed","No verified local image downloaded; app fallback is used"
"p083","orbit-spearmint-22g","Orbit Sugar-Free Spearmint Gum","","image_needed","No verified local image downloaded; app fallback is used"
"p084","mentos-mint-roll","Mentos Fresh Mint Roll","","image_needed","No verified local image downloaded; app fallback is used"
"p085","pulse-kachcha-aam-candy","Pulse Kachcha Aam Candy","","image_needed","No verified local image downloaded; app fallback is used"
"p086","happydent-white-pouch","Happydent White Xylitol Gum","","image_needed","No verified local image downloaded; app fallback is used"
"p087","boomer-strawberry-strip","Boomer Strawberry Bubble Gum","","image_needed","No verified local image downloaded; app fallback is used"
"p088","alpenliebe-gold-pouch","Alpenliebe Gold Caramel Candy Pouch","","image_needed","No verified local image downloaded; app fallback is used"
"p089","chupa-chups-lollipop","Chupa Chups Assorted Lollipop","","image_needed","No verified local image downloaded; app fallback is used"
"p090","polo-mint-roll","Nestle Polo The Mint With The Hole","","image_needed","No verified local image downloaded; app fallback is used"
"p091","pass-pass-classic-pouch","Pass Pass Mouth Freshener Pouch","","image_needed","No verified local image downloaded; app fallback is used"
"p092","rajnigandha-pearls-tin","Rajnigandha Pearls Silver Coated Elaichi","","image_needed","No verified local image downloaded; app fallback is used"
"p093","baba-elaichi-pouch","Baba Elaichi Mouth Freshener","","image_needed","No verified local image downloaded; app fallback is used"
"p094","sweet-saunf-100g","Sweet Saunf (Sugar Coated Fennel)","","image_needed","No verified local image downloaded; app fallback is used"
"p095","roasted-saunf-100g","Roasted Saunf (Plain Fennel Seeds)","","image_needed","No verified local image downloaded; app fallback is used"
"p096","green-elaichi-50g","Green Elaichi (Cardamom) Pack","","image_needed","No verified local image downloaded; app fallback is used"
"p097","mukhwas-mix-100g","Mukhwas Mix (Assorted Mouth Freshener)","","image_needed","No verified local image downloaded; app fallback is used"
"p098","chandan-supari-mix-100g","Chandan Mukhwas (Sandal Flavour Mix)","","image_needed","No verified local image downloaded; app fallback is used"
"p099","betel-leaves-banarasi-10pc","Banarasi Paan Leaves (Betel Leaves)","","image_needed","No verified local image downloaded; app fallback is used"
"p100","betel-leaves-calcutta-10pc","Calcutta Meetha Paan Leaves","","image_needed","No verified local image downloaded; app fallback is used"
"p101","gulkand-200g","Gulkand (Rose Petal Preserve)","","image_needed","No verified local image downloaded; app fallback is used"
"p102","kattha-paste-50g","Kattha (Catechu Paste)","","image_needed","No verified local image downloaded; app fallback is used"
"p103","chuna-paste-50g","Chuna (Edible Slaked Lime Paste)","","image_needed","No verified local image downloaded; app fallback is used"
"p104","paan-cherry-100g","Paan Cherry (Candied Cherry Topping)","","image_needed","No verified local image downloaded; app fallback is used"
"p105","tutti-frutti-100g","Tutti Frutti (Candied Papaya Bits)","","image_needed","No verified local image downloaded; app fallback is used"
"p106","coconut-bura-100g","Sweet Coconut Bura (Grated Coconut Mix)","","image_needed","No verified local image downloaded; app fallback is used"
"p107","nizam-sweet-supari-pouch","Nizam Sweet Supari Pouch","","image_needed","No verified local image downloaded; app fallback is used"
"p108","bolero-sweet-supari","Bolero Sweet Supari","","image_needed","No verified local image downloaded; app fallback is used"
"p109","cutting-supari-100g","Cutting Supari (Sliced Areca Nut)","","image_needed","No verified local image downloaded; app fallback is used"
"p110","bhuni-supari-100g","Bhuni Supari (Roasted Areca Nut)","","image_needed","No verified local image downloaded; app fallback is used"
"p111","flavoured-saunf-mix-100g","Flavoured Saunf Mix (Rainbow Saunf)","","image_needed","No verified local image downloaded; app fallback is used"
"p112","rajnigandha-pan-masala-pouch","Rajnigandha Pan Masala","","image_needed","No verified local image downloaded; app fallback is used"
"p113","rajnigandha-pan-masala-tin","Rajnigandha Pan Masala Tin","","image_needed","No verified local image downloaded; app fallback is used"
"p114","pan-bahar-pouch","Pan Bahar Pan Masala","","image_needed","No verified local image downloaded; app fallback is used"
"p115","pan-parag-pouch","Pan Parag Pan Masala","","image_needed","No verified local image downloaded; app fallback is used"
"p116","vimal-pan-masala-pouch","Vimal Pan Masala","","image_needed","No verified local image downloaded; app fallback is used"
"p117","shikhar-pan-masala-pouch","Shikhar Pan Masala","","image_needed","No verified local image downloaded; app fallback is used"
"p118","manikchand-pan-masala-pouch","Manikchand Pan Masala","","image_needed","No verified local image downloaded; app fallback is used"
"p119","rmd-pan-masala-pouch","RMD Pan Masala","","image_needed","No verified local image downloaded; app fallback is used"
"p120","tulsi-pan-masala-pouch","Tulsi Pan Masala","","image_needed","No verified local image downloaded; app fallback is used"
"p121","kuber-pan-masala-pouch","Kuber Pan Masala","","image_needed","No verified local image downloaded; app fallback is used"
"p122","kamla-pasand-pouch","Kamla Pasand Pan Masala","","image_needed","No verified local image downloaded; app fallback is used"
"p123","rajshree-pan-masala-pouch","Rajshree Pan Masala","","image_needed","No verified local image downloaded; app fallback is used"
"p124","goa-1000-pan-masala","Goa 1000 Pan Masala","","image_needed","No verified local image downloaded; app fallback is used"
"p125","madhur-pan-masala-pouch","Madhur Pan Masala","","image_needed","No verified local image downloaded; app fallback is used"
"p126","sir-pan-masala-pouch","Sir Pan Masala","","image_needed","No verified local image downloaded; app fallback is used"
"p127","miraj-pan-masala-pouch","Miraj Pan Masala","","image_needed","No verified local image downloaded; app fallback is used"
"p128","classic-milds-pack-20","Classic Milds","","image_needed","No verified local image downloaded; app fallback is used"
"p129","classic-connect-pack-20","Classic Connect","","image_needed","No verified local image downloaded; app fallback is used"
"p130","gold-flake-kings-pack-20","Gold Flake Kings","","image_needed","No verified local image downloaded; app fallback is used"
"p131","gold-flake-premium-pack-10","Gold Flake Premium","","image_needed","No verified local image downloaded; app fallback is used"
"p132","wills-navy-cut-pack-10","Wills Navy Cut","","image_needed","No verified local image downloaded; app fallback is used"
"p133","insignia-pack-20","Insignia","","image_needed","No verified local image downloaded; app fallback is used"
"p134","india-kings-pack-20","India Kings","","image_needed","No verified local image downloaded; app fallback is used"
"p135","american-club-pack-20","American Club","","image_needed","No verified local image downloaded; app fallback is used"
"p136","players-gold-leaf-pack-20","Players Gold Leaf","","image_needed","No verified local image downloaded; app fallback is used"
"p137","four-square-pack-10","Four Square","","image_needed","No verified local image downloaded; app fallback is used"
"p138","red-white-pack-10","Red & White","","image_needed","No verified local image downloaded; app fallback is used"
"p139","marlboro-red-pack-20","Marlboro Red","","image_needed","No verified local image downloaded; app fallback is used"
"p140","marlboro-gold-pack-20","Marlboro Gold","","image_needed","No verified local image downloaded; app fallback is used"
"p141","marlboro-advance-pack-20","Marlboro Advance Compact","","image_needed","No verified local image downloaded; app fallback is used"
"p142","cavanders-pack-10","Cavanders","","image_needed","No verified local image downloaded; app fallback is used"
"p143","stellar-slims-pack-20","Stellar Ultra Slims","","image_needed","No verified local image downloaded; app fallback is used"
"p144","esse-lights-pack-20","Esse Lights Super Slims","","image_needed","No verified local image downloaded; app fallback is used"
"p145","dunhill-switch-pack-20","Dunhill","","image_needed","No verified local image downloaded; app fallback is used"
"p146","capstan-pack-10","Capstan","","image_needed","No verified local image downloaded; app fallback is used"
"p147","flake-excel-pack-10","Flake Excel","","image_needed","No verified local image downloaded; app fallback is used"
"p148","scissors-pack-10","Scissors","","image_needed","No verified local image downloaded; app fallback is used"
"p149","bristol-pack-10","Bristol","","image_needed","No verified local image downloaded; app fallback is used"
"p150","chaini-khaini-pouch","Chaini Khaini","","image_needed","No verified local image downloaded; app fallback is used"
"p151","hans-chhap-zarda","Hans Chhap Zarda","","image_needed","No verified local image downloaded; app fallback is used"
"p152","baba-120-zarda","Baba 120 Zarda","","image_needed","No verified local image downloaded; app fallback is used"
"p153","tulsi-mix-pouch","Tulsi Mix","","image_needed","No verified local image downloaded; app fallback is used"
"p154","afzal-pan-ras-flavour-50g","Afzal Pan Ras Hookah Flavour","","image_needed","No verified local image downloaded; app fallback is used"
"p155","soex-herbal-double-apple-50g","Soex Herbal Hookah Flavour Double Apple","","image_needed","No verified local image downloaded; app fallback is used"
"p156","hookah-coal-pack","Hookah Charcoal (Quick-Light Coals)","","image_needed","No verified local image downloaded; app fallback is used"
"p157","ship-matchbox-single","Ship Safety Matches","","image_needed","No verified local image downloaded; app fallback is used"
"p158","homelites-matchbox-single","Homelites Safety Matches","","image_needed","No verified local image downloaded; app fallback is used"
"p159","pocket-lighter-standard","Pocket Gas Lighter (Standard Refillable)","","image_needed","No verified local image downloaded; app fallback is used"
"p160","cricket-lighter-original","Cricket Original Pocket Lighter","","image_needed","No verified local image downloaded; app fallback is used"
"p161","lighter-refill-gas-can","Lighter Refill Gas Can","","image_needed","No verified local image downloaded; app fallback is used"
"p162","rolling-paper-standard","Rolling Paper (Standard Booklet)","","image_needed","No verified local image downloaded; app fallback is used"