id,slug,name,price,mrp,priceType,sourceUrl,notes
"p001","coca-cola-750ml","Coca-Cola Soft Drink","45","45","editable_beta_price","","Needs live MRP verification before production launch"
"p002","coca-cola-can-300ml","Coca-Cola Can","40","40","editable_beta_price","","Needs live MRP verification before production launch"
"p003","thums-up-750ml","Thums Up Strong Soft Drink","45","45","editable_beta_price","","Needs live MRP verification before production launch"
"p004","thums-up-can-300ml","Thums Up Can","40","40","editable_beta_price","","Needs live MRP verification before production launch"
"p005","sprite-750ml","Sprite Lime Soft Drink","45","45","editable_beta_price","https://www.coca-cola.com/in/en/brands/sprite","Needs live MRP verification before production launch"
"p006","sprite-can-300ml","Sprite Can","40","40","editable_beta_price","https://www.coca-cola.com/in/en/brands/sprite","Needs live MRP verification before production launch"
"p007","limca-750ml","Limca Lemon-Lime Soft Drink","45","45","editable_beta_price","https://www.coca-cola.com/in/en/brands/limca","Needs live MRP verification before production launch"
"p008","fanta-750ml","Fanta Orange Soft Drink","45","45","editable_beta_price","https://www.coca-cola.com/in/en/brands/fanta","Needs live MRP verification before production launch"
"p009","maaza-600ml","Maaza Mango Drink","42","42","editable_beta_price","https://www.coca-cola.com/in/en/brands/maaza","Needs live MRP verification before production launch"
"p010","maaza-250ml","Maaza Mango Drink","20","20","editable_beta_price","https://www.coca-cola.com/in/en/brands/maaza","Needs live MRP verification before production launch"
"p011","pepsi-750ml","Pepsi Soft Drink","45","45","editable_beta_price","","Needs live MRP verification before production launch"
"p012","pepsi-can-250ml","Pepsi Can","35","35","editable_beta_price","","Needs live MRP verification before production launch"
"p013","mountain-dew-750ml","Mountain Dew Soft Drink","45","45","editable_beta_price","","Needs live MRP verification before production launch"
"p014","7up-750ml","7UP Lemon Soft Drink","45","45","editable_beta_price","","Needs live MRP verification before production launch"
"p015","mirinda-750ml","Mirinda Orange Soft Drink","45","45","editable_beta_price","","Needs live MRP verification before production launch"
"p016","sting-energy-250ml","Sting Energy Drink","20","20","editable_beta_price","","Needs live MRP verification before production launch"
"p017","red-bull-250ml","Red Bull Energy Drink","125","125","editable_beta_price","","Needs live MRP verification before production launch"
"p018","monster-energy-350ml","Monster Energy Drink","115","115","editable_beta_price","","Needs live MRP verification before production launch"
"p019","paper-boat-aamras-200ml","Paper Boat Aamras","30","30","editable_beta_price","","Needs live MRP verification before production launch"
"p020","real-mixed-fruit-1l","Real Mixed Fruit Juice","130","130","editable_beta_price","","Needs live MRP verification before production launch"
"p021","tropicana-orange-1l","Tropicana Orange Delight","130","130","editable_beta_price","","Needs live MRP verification before production launch"
"p022","amul-kool-kesar-180ml","Amul Kool Kesar Flavoured Milk","25","25","editable_beta_price","","Needs live MRP verification before production launch"
"p023","amul-kool-cafe-200ml","Amul Kool Cafe Cold Coffee","35","35","editable_beta_price","","Needs live MRP verification before production launch"
"p024","coca-cola-250ml","Coca-Cola Soft Drink","20","20","editable_beta_price","","Needs live MRP verification before production launch"
"p025","thums-up-250ml","Thums Up Soft Drink","20","20","editable_beta_price","","Needs live MRP verification before production launch"
"p026","bisleri-1l","Bisleri Packaged Drinking Water","20","20","editable_beta_price","","Needs live MRP verification before production launch"
"p027","bisleri-500ml","Bisleri Packaged Drinking Water","10","10","editable_beta_price","","Needs live MRP verification before production launch"
"p028","bisleri-2l","Bisleri Packaged Drinking Water","30","30","editable_beta_price","","Needs live MRP verification before production launch"
"p029","kinley-1l","Kinley Packaged Drinking Water","20","20","editable_beta_price","","Needs live MRP verification before production launch"
"p030","aquafina-1l","Aquafina Packaged Drinking Water","20","20","editable_beta_price","","Needs live MRP verification before production launch"
"p031","bisleri-soda-750ml","Bisleri Soda","20","20","editable_beta_price","","Needs live MRP verification before production launch"
"p032","kinley-soda-750ml","Kinley Soda","20","20","editable_beta_price","","Needs live MRP verification before production launch"
"p033","schweppes-tonic-300ml","Schweppes Tonic Water","60","60","editable_beta_price","","Needs live MRP verification before production launch"
"p034","lays-magic-masala-48g","Lay's India's Magic Masala","20","20","editable_beta_price","","Needs live MRP verification before production launch"
"p035","lays-classic-salted-48g","Lay's Classic Salted","20","20","editable_beta_price","","Needs live MRP verification before production launch"
"p036","lays-american-cream-onion-48g","Lay's American Style Cream & Onion","20","20","editable_beta_price","","Needs live MRP verification before production launch"
"p037","kurkure-masala-munch-75g","Kurkure Masala Munch","20","20","editable_beta_price","","Needs live MRP verification before production launch"
"p038","kurkure-green-chutney-75g","Kurkure Green Chutney Rajasthani Style","20","20","editable_beta_price","","Needs live MRP verification before production launch"
"p039","bingo-mad-angles-achaari-masti-66g","Bingo! Mad Angles Achaari Masti","20","20","editable_beta_price","","Needs live MRP verification before production launch"
"p040","bingo-tedhe-medhe-80g","Bingo! Tedhe Medhe Masala Tadka","20","20","editable_beta_price","","Needs live MRP verification before production launch"
"p041","uncle-chipps-spicy-treat-50g","Uncle Chipps Spicy Treat","20","20","editable_beta_price","","Needs live MRP verification before production launch"
"p042","too-yumm-multigrain-chips-54g","Too Yumm! Multigrain Chips Dahi Papdi Chaat","20","20","editable_beta_price","","Needs live MRP verification before production launch"
"p043","pringles-original-107g","Pringles Original","110","110","editable_beta_price","","Needs live MRP verification before production launch"
"p044","doritos-nacho-cheese-70g","Doritos Nacho Cheese","30","30","editable_beta_price","","Needs live MRP verification before production launch"
"p045","crax-corn-rings-72g","Crax Corn Rings Masala","20","20","editable_beta_price","","Needs live MRP verification before production launch"
"p046","act-ii-butter-popcorn-59g","Act II Instant Popcorn Butter Delite","30","30","editable_beta_price","","Needs live MRP verification before production launch"
"p047","cornitos-peri-peri-55g","Cornitos Nacho Crisps Peri Peri","35","35","editable_beta_price","","Needs live MRP verification before production launch"
"p048","peppy-cheese-balls-60g","Peppy Cheese Balls","20","20","editable_beta_price","","Needs live MRP verification before production launch"
"p049","haldirams-aloo-bhujia-200g","Haldiram's Aloo Bhujia","55","55","editable_beta_price","","Needs live MRP verification before production launch"
"p050","haldirams-bhujia-sev-200g","Haldiram's Bhujia Sev","60","60","editable_beta_price","","Needs live MRP verification before production launch"
"p051","haldirams-moong-dal-200g","Haldiram's Moong Dal","60","60","editable_beta_price","","Needs live MRP verification before production launch"
"p052","haldirams-khatta-meetha-200g","Haldiram's Khatta Meetha","55","55","editable_beta_price","","Needs live MRP verification before production launch"
"p053","haldirams-navrattan-200g","Haldiram's Navrattan Mixture","55","55","editable_beta_price","","Needs live MRP verification before production launch"
"p054","bikaji-bikaneri-bhujia-200g","Bikaji Bikaneri Bhujia","55","55","editable_beta_price","","Needs live MRP verification before production launch"
"p055","bikaji-soya-sticks-200g","Bikaji Soya Sticks","50","50","editable_beta_price","","Needs live MRP verification before production launch"
"p056","balaji-wafers-chataka-pataka-65g","Balaji Chataka Pataka Namkeen","10","10","editable_beta_price","","Needs live MRP verification before production launch"
"p057","bikanervala-bhujia-200g","Bikanervala Bikaneri Bhujia","55","55","editable_beta_price","","Needs live MRP verification before production launch"
"p058","haldirams-salted-peanuts-200g","Haldiram's Salted Peanuts","55","55","editable_beta_price","","Needs live MRP verification before production launch"
"p059","haldirams-nut-cracker-200g","Haldiram's Nut Cracker","60","60","editable_beta_price","","Needs live MRP verification before production launch"
"p060","bikaji-funkeen-chana-jor-150g","Bikaji Chana Jor Garam","45","45","editable_beta_price","","Needs live MRP verification before production launch"
"p061","parle-g-original-70g","Parle-G Original Glucose Biscuits","10","10","editable_beta_price","","Needs live MRP verification before production launch"
"p062","parle-hide-seek-chocolate-100g","Parle Hide & Seek Chocolate Chip Cookies","30","30","editable_beta_price","","Needs live MRP verification before production launch"
"p063","britannia-good-day-cashew-75g","Britannia Good Day Cashew Cookies","15","15","editable_beta_price","","Needs live MRP verification before production launch"
"p064","britannia-marie-gold-120g","Britannia Marie Gold Tea-Time Biscuits","15","15","editable_beta_price","","Needs live MRP verification before production launch"
"p065","oreo-vanilla-creme-43g","Cadbury Oreo Vanilla Creme Biscuits","10","10","editable_beta_price","","Needs live MRP verification before production launch"
"p066","britannia-bourbon-100g","Britannia Bourbon Chocolate Cream Biscuits","25","25","editable_beta_price","","Needs live MRP verification before production launch"
"p067","parle-monaco-classic-63g","Parle Monaco Classic Salted Biscuits","10","10","editable_beta_price","","Needs live MRP verification before production launch"
"p068","parle-krackjack-60g","Parle KrackJack Sweet & Salty Biscuits","10","10","editable_beta_price","","Needs live MRP verification before production launch"
"p069","sunfeast-dark-fantasy-choco-fills-75g","Sunfeast Dark Fantasy Choco Fills","35","35","editable_beta_price","","Needs live MRP verification before production launch"
"p070","britannia-50-50-maska-chaska-60g","Britannia 50-50 Maska Chaska","10","10","editable_beta_price","","Needs live MRP verification before production launch"
"p071","cadbury-dairy-milk-23g","Cadbury Dairy Milk Chocolate Bar","20","20","editable_beta_price","","Needs live MRP verification before production launch"
"p072","cadbury-dairy-milk-silk-60g","Cadbury Dairy Milk Silk","85","85","editable_beta_price","","Needs live MRP verification before production launch"
"p073","cadbury-5-star-40g","Cadbury 5 Star Chocolate Bar","20","20","editable_beta_price","","Needs live MRP verification before production launch"
"p074","cadbury-perk-13g","Cadbury Perk Wafer Chocolate","5","5","editable_beta_price","","Needs live MRP verification before production launch"
"p075","nestle-munch-18g","Nestle Munch Wafer Chocolate","10","10","editable_beta_price","","Needs live MRP verification before production launch"
"p076","nestle-kitkat-4-finger-38g","Nestle KitKat 4-Finger","35","35","editable_beta_price","","Needs live MRP verification before production launch"
"p077","snickers-peanut-45g","Snickers Peanut Chocolate Bar","40","40","editable_beta_price","","Needs live MRP verification before production launch"
"p078","nestle-milkybar-25g","Nestle Milkybar White Chocolate","20","20","editable_beta_price","","Needs live MRP verification before production launch"
"p079","cadbury-gems-17g","Cadbury Gems Chocolate Buttons","10","10","editable_beta_price","","Needs live MRP verification before production launch"
"p080","cadbury-eclairs-pouch","Cadbury Choclairs Gold (Pouch)","50","50","editable_beta_price","","Needs live MRP verification before production launch"
"p081","center-fresh-mint-pouch","Center Fresh Spearmint Chewing Gum","25","25","editable_beta_price","","Needs live MRP verification before production launch"
"p082","center-fruit-pouch","Center Fruit Liquid-Filled Gum","25","25","editable_beta_price","","Needs live MRP verification before production launch"
"p083","orbit-spearmint-22g","Orbit Sugar-Free Spearmint Gum","50","50","editable_beta_price","","Needs live MRP verification before production launch"
"p084","mentos-mint-roll","Mentos Fresh Mint Roll","20","20","editable_beta_price","","Needs live MRP verification before production launch"
"p085","pulse-kachcha-aam-candy","Pulse Kachcha Aam Candy","1","1","editable_beta_price","","Needs live MRP verification before production launch"
"p086","happydent-white-pouch","Happydent White Xylitol Gum","25","25","editable_beta_price","","Needs live MRP verification before production launch"
"p087","boomer-strawberry-strip","Boomer Strawberry Bubble Gum","1","1","editable_beta_price","","Needs live MRP verification before production launch"
"p088","alpenliebe-gold-pouch","Alpenliebe Gold Caramel Candy Pouch","50","50","editable_beta_price","","Needs live MRP verification before production launch"
"p089","chupa-chups-lollipop","Chupa Chups Assorted Lollipop","10","10","editable_beta_price","","Needs live MRP verification before production launch"
"p090","polo-mint-roll","Nestle Polo The Mint With The Hole","20","20","editable_beta_price","","Needs live MRP verification before production launch"
"p091","pass-pass-classic-pouch","Pass Pass Mouth Freshener Pouch","25","25","editable_beta_price","","Needs live MRP verification before production launch"
"p092","rajnigandha-pearls-tin","Rajnigandha Pearls Silver Coated Elaichi","85","85","editable_beta_price","","Needs live MRP verification before production launch"
"p093","baba-elaichi-pouch","Baba Elaichi Mouth Freshener","55","55","editable_beta_price","","Needs live MRP verification before production launch"
"p094","sweet-saunf-100g","Sweet Saunf (Sugar Coated Fennel)","40","","editable_beta_price","","Needs live MRP verification before production launch"
"p095","roasted-saunf-100g","Roasted Saunf (Plain Fennel Seeds)","35","","editable_beta_price","","Needs live MRP verification before production launch"
"p096","green-elaichi-50g","Green Elaichi (Cardamom) Pack","150","","editable_beta_price","","Needs live MRP verification before production launch"
"p097","mukhwas-mix-100g","Mukhwas Mix (Assorted Mouth Freshener)","60","","editable_beta_price","","Needs live MRP verification before production launch"
"p098","chandan-supari-mix-100g","Chandan Mukhwas (Sandal Flavour Mix)","70","","editable_beta_price","","Needs live MRP verification before production launch"
"p099","betel-leaves-banarasi-10pc","Banarasi Paan Leaves (Betel Leaves)","50","","editable_beta_price","","Needs live MRP verification before production launch"
"p100","betel-leaves-calcutta-10pc","Calcutta Meetha Paan Leaves","60","","editable_beta_price","","Needs live MRP verification before production launch"
"p101","gulkand-200g","Gulkand (Rose Petal Preserve)","80","","editable_beta_price","","Needs live MRP verification before production launch"
"p102","kattha-paste-50g","Kattha (Catechu Paste)","40","","editable_beta_price","","Needs live MRP verification before production launch"
"p103","chuna-paste-50g","Chuna (Edible Slaked Lime Paste)","20","","editable_beta_price","","Needs live MRP verification before production launch"
"p104","paan-cherry-100g","Paan Cherry (Candied Cherry Topping)","60","","editable_beta_price","","Needs live MRP verification before production launch"
"p105","tutti-frutti-100g","Tutti Frutti (Candied Papaya Bits)","50","","editable_beta_price","","Needs live MRP verification before production launch"
"p106","coconut-bura-100g","Sweet Coconut Bura (Grated Coconut Mix)","55","","editable_beta_price","","Needs live MRP verification before production launch"
"p107","nizam-sweet-supari-pouch","Nizam Sweet Supari Pouch","10","10","editable_beta_price","","Needs live MRP verification before production launch"
"p108","bolero-sweet-supari","Bolero Sweet Supari","10","10","editable_beta_price","","Needs live MRP verification before production launch"
"p109","cutting-supari-100g","Cutting Supari (Sliced Areca Nut)","90","","editable_beta_price","","Needs live MRP verification before production launch"
"p110","bhuni-supari-100g","Bhuni Supari (Roasted Areca Nut)","100","","editable_beta_price","","Needs live MRP verification before production launch"
"p111","flavoured-saunf-mix-100g","Flavoured Saunf Mix (Rainbow Saunf)","45","","editable_beta_price","","Needs live MRP verification before production launch"
"p112","rajnigandha-pan-masala-pouch","Rajnigandha Pan Masala","25","","editable_beta_price","","Needs live MRP verification before production launch"
"p113","rajnigandha-pan-masala-tin","Rajnigandha Pan Masala Tin","290","","editable_beta_price","","Needs live MRP verification before production launch"
"p114","pan-bahar-pouch","Pan Bahar Pan Masala","20","","editable_beta_price","","Needs live MRP verification before production launch"
"p115","pan-parag-pouch","Pan Parag Pan Masala","20","","editable_beta_price","","Needs live MRP verification before production launch"
"p116","vimal-pan-masala-pouch","Vimal Pan Masala","20","","editable_beta_price","","Needs live MRP verification before production launch"
"p117","shikhar-pan-masala-pouch","Shikhar Pan Masala","15","","editable_beta_price","","Needs live MRP verification before production launch"
"p118","manikchand-pan-masala-pouch","Manikchand Pan Masala","20","","editable_beta_price","","Needs live MRP verification before production launch"
"p119","rmd-pan-masala-pouch","RMD Pan Masala","20","","editable_beta_price","","Needs live MRP verification before production launch"
"p120","tulsi-pan-masala-pouch","Tulsi Pan Masala","20","","editable_beta_price","","Needs live MRP verification before production launch"
"p121","kuber-pan-masala-pouch","Kuber Pan Masala","15","","editable_beta_price","","Needs live MRP verification before production launch"
"p122","kamla-pasand-pouch","Kamla Pasand Pan Masala","20","","editable_beta_price","","Needs live MRP verification before production launch"
"p123","rajshree-pan-masala-pouch","Rajshree Pan Masala","20","","editable_beta_price","","Needs live MRP verification before production launch"
"p124","goa-1000-pan-masala","Goa 1000 Pan Masala","15","","editable_beta_price","","Needs live MRP verification before production launch"
"p125","madhur-pan-masala-pouch","Madhur Pan Masala","15","","editable_beta_price","","Needs live MRP verification before production launch"
"p126","sir-pan-masala-pouch","Sir Pan Masala","20","","editable_beta_price","","Needs live MRP verification before production launch"
"p127","miraj-pan-masala-pouch","Miraj Pan Masala","15","","editable_beta_price","","Needs live MRP verification before production launch"
"p128","classic-milds-pack-20","Classic Milds","340","","editable_beta_price","","Needs live MRP verification before production launch"
"p129","classic-connect-pack-20","Classic Connect","340","","editable_beta_price","","Needs live MRP verification before production launch"
"p130","gold-flake-kings-pack-20","Gold Flake Kings","340","","editable_beta_price","","Needs live MRP verification before production launch"
"p131","gold-flake-premium-pack-10","Gold Flake Premium","90","","editable_beta_price","","Needs live MRP verification before production launch"
"p132","wills-navy-cut-pack-10","Wills Navy Cut","90","","editable_beta_price","","Needs live MRP verification before production launch"
"p133","insignia-pack-20","Insignia","600","","editable_beta_price","","Needs live MRP verification before production launch"
"p134","india-kings-pack-20","India Kings","400","","editable_beta_price","","Needs live MRP verification before production launch"
"p135","american-club-pack-20","American Club","180","","editable_beta_price","","Needs live MRP verification before production launch"
"p136","players-gold-leaf-pack-20","Players Gold Leaf","300","","editable_beta_price","","Needs live MRP verification before production launch"
"p137","four-square-pack-10","Four Square","80","","editable_beta_price","","Needs live MRP verification before production launch"
"p138","red-white-pack-10","Red & White","80","","editable_beta_price","","Needs live MRP verification before production launch"
"p139","marlboro-red-pack-20","Marlboro Red","360","","editable_beta_price","","Needs live MRP verification before production launch"
"p140","marlboro-gold-pack-20","Marlboro Gold","360","","editable_beta_price","","Needs live MRP verification before production launch"
"p141","marlboro-advance-pack-20","Marlboro Advance Compact","200","","editable_beta_price","","Needs live MRP verification before production launch"
"p142","cavanders-pack-10","Cavanders","60","","editable_beta_price","","Needs live MRP verification before production launch"
"p143","stellar-slims-pack-20","Stellar Ultra Slims","200","","editable_beta_price","","Needs live MRP verification before production launch"
"p144","esse-lights-pack-20","Esse Lights Super Slims","220","","editable_beta_price","","Needs live MRP verification before production launch"
"p145","dunhill-switch-pack-20","Dunhill","400","","editable_beta_price","","Needs live MRP verification before production launch"
"p146","capstan-pack-10","Capstan","60","","editable_beta_price","","Needs live MRP verification before production launch"
"p147","flake-excel-pack-10","Flake Excel","70","","editable_beta_price","","Needs live MRP verification before production launch"
"p148","scissors-pack-10","Scissors","50","","editable_beta_price","","Needs live MRP verification before production launch"
"p149","bristol-pack-10","Bristol","50","","editable_beta_price","","Needs live MRP verification before production launch"
"p150","chaini-khaini-pouch","Chaini Khaini","15","","editable_beta_price","","Needs live MRP verification before production launch"
"p151","hans-chhap-zarda","Hans Chhap Zarda","30","","editable_beta_price","","Needs live MRP verification before production launch"
"p152","baba-120-zarda","Baba 120 Zarda","60","","editable_beta_price","","Needs live MRP verification before production launch"
"p153","tulsi-mix-pouch","Tulsi Mix","20","","editable_beta_price","","Needs live MRP verification before production launch"
"p154","afzal-pan-ras-flavour-50g","Afzal Pan Ras Hookah Flavour","120","","editable_beta_price","","Needs live MRP verification before production launch"
"p155","soex-herbal-double-apple-50g","Soex Herbal Hookah Flavour Double Apple","100","","editable_beta_price","","Needs live MRP verification before production launch"
"p156","hookah-coal-pack","Hookah Charcoal (Quick-Light Coals)","60","","editable_beta_price","","Needs live MRP verification before production launch"
"p157","ship-matchbox-single","Ship Safety Matches","2","2","editable_beta_price","","Needs live MRP verification before production launch"
"p158","homelites-matchbox-single","Homelites Safety Matches","2","2","editable_beta_price","","Needs live MRP verification before production launch"
"p159","pocket-lighter-standard","Pocket Gas Lighter (Standard Refillable)","20","","editable_beta_price","","Needs live MRP verification before production launch"
"p160","cricket-lighter-original","Cricket Original Pocket Lighter","40","","editable_beta_price","","Needs live MRP verification before production launch"
"p161","lighter-refill-gas-can","Lighter Refill Gas Can","50","","editable_beta_price","","Needs live MRP verification before production launch"
"p162","rolling-paper-standard","Rolling Paper (Standard Booklet)","30","","editable_beta_price","","Needs live MRP verification before production launch"